ags,name,population,catholic,evangelical,other_none_unstated
08237019,"Dornstetten, Stadt",8119,1554,3741,2827
08237024,Empfingen,4173,2084,681,1409
08237027,Eutingen im Gäu,6024,2739,1070,2216
08237028,"Freudenstadt, Stadt",24034,4463,9167,10400
08237030,Glatten,2521,405,1294,821
08237032,Grömbach,629,62,365,196
08237040,"Horb am Neckar, Stadt",25424,10842,4998,9586
08237045,Loßburg,7684,1029,4052,2603
08237054,Pfalzgrafenweiler,7203,932,3384,2880
08237061,Schopfloch,2584,354,1586,643
08237072,Wörnersberg,213,14,136,65
08237073,Seewald,2134,246,1195,686
08237074,Waldachtal,6163,2200,1833,2130
08237075,Bad Rippoldsau-Schapbach,2047,1441,197,410
08311000,"Freiburg im Breisgau, Stadt",233040,68184,44804,120056
08315003,Au,1496,568,266,662
08315004,Auggen,2843,519,1062,1259
08315006,"Bad Krozingen, Stadt",22044,6989,3996,11062
08315007,Badenweiler,4604,842,1246,2515
08315008,Ballrechten-Dottingen,2412,1052,472,891
08315013,Bötzingen,5448,1314,1797,2338
08315014,Bollschweil,2285,1082,288,919
08315015,"Breisach am Rhein, Stadt",15886,5646,3393,6842
08315016,Breitnau,1858,1143,186,530
08315020,Buchenbach,3189,1743,354,1095
08315022,Buggingen,4406,939,1696,1773
08315028,Ebringen,2812,1253,485,1071
08315030,Eichstetten am Kaiserstuhl,3689,640,1538,1516
08315031,Eisenbach (Hochschwarzwald),2150,1275,243,633
08315033,Eschbach,2456,910,461,1084
08315037,Feldberg (Schwarzwald),1903,787,285,831
08315039,Friedenweiler,2009,1109,237,668
08315041,Glottertal,3253,1918,350,979
08315043,Gottenheim,2955,1384,419,1154
08315047,Gundelfingen,12030,3606,2688,5734
08315048,Hartheim am Rhein,5047,2284,792,1971
08315050,"Heitersheim, Stadt",6441,2201,1287,2957
08315051,Heuweiler,1132,542,173,416
08315052,Hinterzarten,2497,1184,399,909
08315056,Horben,1201,548,187,465
08315059,Ihringen,6212,1527,2565,2121
08315064,Kirchzarten,9978,4291,1941,3744
08315068,Lenzkirch,5098,2536,847,1712
08315070,"Löffingen, Stadt",7675,4303,1061,2313
08315072,Merdingen,2584,1522,364,703
08315073,Merzhausen,5215,1700,1040,2478
08315074,"Müllheim, Stadt",19638,4075,6398,9163
08315076,"Neuenburg am Rhein, Stadt",12636,3758,3082,5789
08315084,Oberried,2849,1686,258,905
08315089,Pfaffenweiler,2631,1438,380,813
08315094,St  Märgen,1958,1338,132,488
08315095,St  Peter,2672,1583,297,792
08315098,Schallstadt,6396,1671,1912,2814
08315102,Schluchsee,2562,1225,355,986
08315107,Sölden,1284,620,176,486
08315108,"Staufen im Breisgau, Stadt",8322,2952,1658,3711
08315109,Stegen,4332,2192,705,1434
08315111,"Sulzburg, Stadt",2725,633,943,1148
08315113,"Titisee-Neustadt, Stadt",12761,6129,1857,4775
08315115,Umkirch,5662,1834,1097,2732
08315125,Wittnau,1480,681,230,569
08315130,Münstertal/Schwarzwald,5098,2957,584,1556
08315131,Ehrenkirchen,7665,3620,1129,2916
08315132,March,9223,3873,1631,3718
08315133,"Vogtsburg im Kaiserstuhl, Stadt",6235,3044,1298,1891
08316002,Bahlingen am Kaiserstuhl,4373,846,2091,1437
08316003,Biederbach,1722,1334,109,276
08316009,Denzlingen,13579,4297,3353,5931
08316010,"Elzach, Stadt",7368,5048,775,1549
08316011,"Emmendingen, Stadt",29137,6917,8242,13982
08316012,"Endingen am Kaiserstuhl, Stadt",10022,4365,2295,3362
08316013,Forchheim,1407,859,178,365
08316014,Gutach im Breisgau,4579,2677,518,1383
08316017,"Herbolzheim, Stadt",10813,3969,2697,4146
08316020,"Kenzingen, Stadt",10513,4243,2329,3941
08316024,Malterdingen,3265,609,1436,1221
08316036,Reute,2835,1433,449,956
08316037,Riegel am Kaiserstuhl,3979,1346,941,1692
08316038,Sasbach am Kaiserstuhl,3414,1798,665,955
08316039,Sexau,3432,770,1493,1174
08316042,Simonswald,2943,1933,280,730
08316043,Teningen,11796,2908,4563,4322
08316045,Vörstetten,3153,774,1017,1366
08316049,Weisweil,2157,435,980,742
08316051,Wyhl am Kaiserstuhl,3978,2307,533,1145
08316053,Rheinhausen,4115,2320,551,1249
08316054,Freiamt,4199,528,2652,1018
08316055,Winden im Elztal,2828,1837,277,713
08316056,"Waldkirch, Stadt",21243,9323,3407,8512
08317001,"Achern, Stadt",25696,13088,3732,8874
08317005,Appenweier,10274,5334,1695,3248
08317008,Bad Peterstal-Griesbach,2594,1628,221,750
08317009,Berghaupten,2460,1469,305,683
08317011,Biberach,3716,2330,400,987
08317021,Durbach,4048,2364,507,1177
08317026,"Ettenheim, Stadt",13424,6400,2464,4561
08317029,Fischerbach,1706,1085,208,414
08317031,Friesenheim,13509,5808,3278,4422
08317034,"Gengenbach, Stadt",11056,5548,1570,3932
08317039,Gutach (Schwarzwaldbahn),2282,580,1106,596
08317040,"Haslach im Kinzigtal, Stadt",7156,3835,1024,2297
08317041,"Hausach, Stadt",5807,2766,1016,2029
08317046,Hofstetten,1786,1354,158,273
08317047,Hohberg,8128,4542,1324,2264
08317051,"Hornberg, Stadt",4160,1291,1425,1446
08317056,Kappelrodeck,6190,4051,597,1541
08317057,"Kehl, Stadt",38556,8213,12321,18022
08317059,Kippenheim,5485,1834,1747,1904
08317065,"Lahr/Schwarzwald, Stadt",49103,13094,14312,21695
08317067,Lautenbach,1935,1302,180,453
08317068,Lauf,4015,2436,435,1144
08317073,"Mahlberg, Stadt",5191,2173,1191,1823
08317075,Meißenheim,4135,1066,1854,1211
08317078,Mühlenbach,1666,1258,123,284
08317085,Nordrach,1823,1145,165,513
08317088,Oberharmersbach,2426,1832,147,448
08317089,"Oberkirch, Stadt",19628,11401,2579,5649
08317093,Oberwolfach,2551,1939,204,413
08317096,"Offenburg, Stadt",62220,23519,12158,26542
08317097,Ohlsbach,3296,1844,413,1038
08317098,"Oppenau, Stadt",4890,3229,388,1269
08317100,Ortenberg,3424,1834,498,1090
08317102,Ottenhöfen im Schwarzwald,3162,1997,291,872
08317110,"Renchen, Stadt",7473,4113,1018,2340
08317113,Ringsheim,2467,1417,359,691
08317114,Rust,4523,2160,559,1805
08317116,Sasbach,5286,2952,795,1536
08317118,Sasbachwalden,2605,1422,278,907
08317121,Schuttertal,3192,2475,243,473
08317122,Schutterwald,7200,3916,1056,2228
08317126,Seebach,1441,964,109,369
08317127,Seelbach,4850,2709,857,1283
08317129,Steinach,3934,2850,356,726
08317141,Willstätt,9837,2091,4229,3516
08317145,"Wolfach, Stadt",5607,2726,1366,1513
08317146,"Zell am Harmersbach, Stadt",8106,4561,1209,2333
08317150,Schwanau,6925,1367,3491,2069
08317151,Neuried,9826,3412,3517,2889
08317152,Kappel-Grafenhausen,5236,2880,708,1648
08317153,"Rheinau, Stadt",11236,2300,5306,3632
08325001,Aichhalden,4171,1747,1287,1137
08325009,Bösingen,3372,2178,395,793
08325011,Dietingen,4146,2210,623,1315
08325012,"Dornhan, Stadt",6163,1265,2808,2088
08325014,Dunningen,6369,3881,734,1755
08325015,Epfendorf,3172,1387,886,900
08325024,Hardt,2458,1592,390,472
08325036,Lauterbach,2753,1631,337,786
08325045,"Oberndorf am Neckar, Stadt",14522,5080,3627,5813
08325049,"Rottweil, Stadt",24668,10494,4761,9411
08325050,Schenkenzell,1852,1027,318,508
08325051,"Schiltach, Stadt",3641,1140,1373,1126
08325053,"Schramberg, Stadt",20446,8571,4148,7726
08325057,"Sulz am Neckar, Stadt",12671,2740,5040,4891
08325060,Villingendorf,3349,1787,469,1092
08325061,Vöhringen,4307,700,2014,1596
08325064,Wellendingen,3252,1580,489,1179
08325069,Zimmern ob Rottweil,6332,2930,1309,2095
08325070,Fluorn-Winzeln,3072,1308,926,837
08325071,Eschbronn,2083,935,577,570
08325072,Deißlingen,6134,2973,1158,2002
08326003,"Bad Dürrheim, Stadt",12982,4430,3326,5227
08326005,"Blumberg, Stadt",9925,4238,1520,4168
08326006,"Bräunlingen, Stadt",5698,3315,560,1823
08326010,Dauchingen,3765,1388,934,1446
08326012,"Donaueschingen, Stadt",21883,9346,3934,8605
08326017,"Furtwangen im Schwarzwald, Stadt",8374,4584,894,2897
08326020,Gütenbach,1069,699,76,295
08326027,"Hüfingen, Stadt",7872,3827,1044,3001
08326031,Königsfeld im Schwarzwald,5818,1622,2116,2083
08326037,Mönchweiler,2803,811,1005,986
08326041,Niedereschach,5839,2527,1214,2096
08326052,"St  Georgen im Schwarzwald, Stadt",12265,3661,4012,4594
08326054,Schönwald im Schwarzwald,2483,1316,354,811
08326055,Schonach im Schwarzwald,3854,2426,461,966
08326060,"Triberg im Schwarzwald, Stadt",4412,2206,553,1653
