ags,name,population,catholic,evangelical,other_none_unstated
08425141,"Blaustein, Stadt",16310,5155,3948,7204
08426001,Achstetten,4940,2582,821,1536
08426005,Alleshausen,537,412,32,96
08426006,Allmannsweiler,328,248,21,61
08426008,Altheim,2104,1358,319,430
08426011,Attenweiler,1902,1070,430,405
08426013,"Bad Buchau, Stadt",4518,2184,660,1673
08426014,"Bad Schussenried, Stadt",8705,4838,1154,2709
08426019,Berkheim,3106,1717,339,1049
08426020,Betzenweiler,755,594,37,125
08426021,"Biberach an der Riß, Stadt",34018,13695,6420,13895
08426028,Burgrieden,4165,2193,618,1354
08426031,Dettingen an der Iller,2632,1644,331,656
08426035,Dürmentingen,2559,1645,313,597
08426036,Dürnau,465,312,36,118
08426038,Eberhardzell,4497,3096,377,1027
08426043,Erlenmoos,1792,1268,165,358
08426044,Erolzheim,3338,1835,431,1072
08426045,Ertingen,5354,3355,781,1218
08426058,Hochdorf,2319,1473,279,567
08426062,Ingoldingen,3079,2123,306,645
08426064,Kanzach,496,331,62,107
08426065,Kirchberg an der Iller,2192,1181,270,740
08426066,Kirchdorf an der Iller,3988,2002,609,1380
08426067,Langenenslingen,3642,2350,436,856
08426070,"Laupheim, Stadt",22638,11018,3420,8200
08426071,Maselheim,4576,2858,419,1298
08426073,Mietingen,4508,2959,458,1093
08426074,Mittelbiberach,4393,2193,752,1449
08426078,Moosburg,226,155,17,51
08426087,"Ochsenhausen, Stadt",9122,5399,1034,2690
08426090,Oggelshausen,933,629,63,242
08426097,"Riedlingen, Stadt",10794,5132,2423,3234
08426100,Rot an der Rot,4600,3244,331,1026
08426108,Schwendi,6774,4191,626,1959
08426109,Seekirch,306,185,46,77
08426113,Steinhausen an der Rottum,2148,1496,164,490
08426117,Tannheim,2491,1360,328,801
08426118,Tiefenbach,533,364,64,104
08426120,Ummendorf,4397,2463,663,1269
08426121,Unlingen,2404,1718,258,432
08426124,Uttenweiler,3694,2591,428,673
08426125,Wain,1650,445,610,595
08426128,Warthausen,5218,2498,992,1726
08426134,Schemmerhofen,8652,5423,990,2240
08426135,Gutenzell-Hürbel,1835,1327,135,376
08435005,Bermatingen,3981,1911,651,1417
08435010,Daisendorf,1517,513,314,690
08435013,Eriskirch,4809,2066,809,1938
08435015,Frickingen,3000,1501,369,1132
08435016,"Friedrichshafen, Stadt",61780,21756,9733,30291
08435018,Hagnau am Bodensee,1433,689,203,542
08435020,Heiligenberg,2858,1341,353,1168
08435024,Immenstaad am Bodensee,6430,2394,1234,2805
08435029,Kressbronn am Bodensee,8726,3863,1330,3533
08435030,Langenargen,7547,3242,1383,2923
08435034,"Markdorf, Stadt",14318,5993,2234,6090
08435035,Meckenbeuren,13742,6821,1948,4979
08435036,"Meersburg, Stadt",5893,2098,1030,2763
08435042,Neukirch,2695,1662,252,784
08435045,Oberteuringen,4941,2355,826,1760
08435047,Owingen,4468,1816,688,1960
08435052,Salem,11996,5222,1730,5043
08435053,Sipplingen,2061,958,257,848
08435054,Stetten,966,404,180,382
08435057,"Tettnang, Stadt",20078,9567,2723,7787
08435059,"Überlingen, Stadt",22572,7770,3923,10881
08435066,Uhldingen-Mühlhofen,8263,2721,1425,4117
08435067,Deggenhausertal,4402,2493,460,1449
08436001,Achberg,1730,919,182,631
08436003,Aichstetten,2845,1747,265,833
08436004,Aitrach,2809,1476,322,1005
08436005,Altshausen,4013,2314,533,1167
08436006,Amtzell,4186,2480,477,1228
08436008,"Aulendorf, Stadt",10294,5161,1971,3164
08436009,"Bad Waldsee, Stadt",20257,11008,2657,6590
08436010,"Bad Wurzach, Stadt",14817,8944,1219,4652
08436011,Baienfurt,7137,3461,997,2681
08436012,Baindt,5264,2755,875,1631
08436013,Berg,4397,2386,664,1347
08436014,Bergatreute,3154,1964,320,874
08436018,Bodnegg,3080,1862,283,930
08436019,Boms,724,439,94,190
08436024,Ebenweiler,1274,749,163,363
08436027,Eichstegen,521,359,29,134
08436032,Fleischwangen,684,463,68,153
08436039,Grünkraut,3089,1628,527,935
08436040,Guggenhausen,179,115,25,37
08436047,Hoßkirch,718,456,84,181
08436049,"Isny im Allgäu, Stadt",14520,6996,2058,5466
08436052,Kißlegg,9158,5586,926,2648
08436053,Königseggwald,688,403,106,180
08436055,"Leutkirch im Allgäu, Stadt",23517,13194,2676,7647
08436064,"Ravensburg, Stadt",49896,21809,8087,20002
08436067,Riedhausen,772,493,75,202
08436069,Schlier,3898,2183,517,1197
08436077,Unterwaldhausen,282,168,34,85
08436078,Vogt,4661,2436,655,1572
08436079,Waldburg,3260,1889,424,947
08436081,"Wangen im Allgäu, Stadt",27553,14203,3196,10154
08436082,"Weingarten, Stadt",24640,10352,4180,10106
08436083,Wilhelmsdorf,4692,1846,1007,1843
08436085,Wolfegg,3804,2247,485,1073
08436087,Wolpertswende,4052,2284,547,1220
08436093,Ebersbach-Musbach,1692,1126,205,358
08436094,Argenbühl,6640,4341,575,1724
08436095,Horgenzell,5652,3270,630,1754
08436096,Fronreute,4872,2908,580,1387
08437005,Beuron,673,377,86,212
08437008,Bingen,2714,1624,321,774
08437031,"Gammertingen, Stadt",6212,3014,1177,2022
08437044,Herbertingen,4783,3029,515,1239
08437047,"Hettingen, Stadt",1787,1304,175,305
08437053,Hohentengen,4215,2960,326,933
08437056,Illmensee,2025,1141,278,605
08437059,Inzigkofen,2918,1703,394,822
08437065,Krauchenwies,4985,3102,588,1294
08437072,Leibertingen,2192,1602,162,428
08437076,"Mengen, Stadt",10014,5824,1269,2923
08437078,"Meßkirch, Stadt",8558,4632,1260,2671
08437082,Neufra,1839,1086,324,430
08437086,Ostrach,6952,3996,1065,1893
08437088,"Pfullendorf, Stadt",13233,6114,2054,5063
08437100,"Bad Saulgau, Stadt",17975,9390,2354,6231
08437101,"Scheer, Stadt",2464,1418,320,730
08437102,Schwenningen,1655,1128,195,331
08437104,"Sigmaringen, Stadt",17141,7207,3010,6923
08437105,Sigmaringendorf,3733,1916,545,1275
08437107,Stetten am kalten Markt,4720,2945,788,988
08437114,"Veringenstadt, Stadt",2148,1188,282,675
08437118,Wald,2639,1678,258,705
08437123,Sauldorf,2581,1666,224,692
08437124,Herdwangen-Schönach,3359,1545,546,1268
