series,age_group,sex,category,value_thousand
age_sex,65–69,Männlich,mit Einwanderungsgeschichte,75
age_sex,65–69,Männlich,ohne Einwanderungsgeschichte,254
age_sex,65–69,Weiblich,mit einseitiger Einwanderungsgeschichte,7
age_sex,65–69,Weiblich,mit Einwanderungsgeschichte,84
age_sex,65–69,Weiblich,ohne Einwanderungsgeschichte,273
age_sex,70–74,Männlich,mit einseitiger Einwanderungsgeschichte,
age_sex,70–74,Männlich,mit Einwanderungsgeschichte,56
age_sex,70–74,Männlich,ohne Einwanderungsgeschichte,196
age_sex,70–74,Weiblich,mit einseitiger Einwanderungsgeschichte,
age_sex,70–74,Weiblich,mit Einwanderungsgeschichte,72
age_sex,70–74,Weiblich,ohne Einwanderungsgeschichte,213
age_sex,75–79,Männlich,mit einseitiger Einwanderungsgeschichte,
age_sex,75–79,Männlich,mit Einwanderungsgeschichte,39
age_sex,75–79,Männlich,ohne Einwanderungsgeschichte,150
age_sex,75–79,Weiblich,mit einseitiger Einwanderungsgeschichte,
age_sex,75–79,Weiblich,mit Einwanderungsgeschichte,49
age_sex,75–79,Weiblich,ohne Einwanderungsgeschichte,176
age_sex,80–84,Männlich,mit einseitiger Einwanderungsgeschichte,
age_sex,80–84,Männlich,mit Einwanderungsgeschichte,22
age_sex,80–84,Männlich,ohne Einwanderungsgeschichte,125
age_sex,80–84,Weiblich,mit einseitiger Einwanderungsgeschichte,
age_sex,80–84,Weiblich,mit Einwanderungsgeschichte,28
age_sex,80–84,Weiblich,ohne Einwanderungsgeschichte,171
age_sex,85 u. älter,Männlich,mit einseitiger Einwanderungsgeschichte,
age_sex,85 u. älter,Männlich,mit Einwanderungsgeschichte,20
age_sex,85 u. älter,Männlich,ohne Einwanderungsgeschichte,122
age_sex,85 u. älter,Weiblich,mit einseitiger Einwanderungsgeschichte,
age_sex,85 u. älter,Weiblich,mit Einwanderungsgeschichte,28
age_sex,85 u. älter,Weiblich,ohne Einwanderungsgeschichte,192
