Anteil Ausländer/-innen 2025
"Regionalschlüssel";"Gemeinde";"in %"
"08435005";"Bermatingen";"11,2"
"08337013";"Bernau im Schwarzwald";"16,1"
"08425019";"Bernstadt";"11,0"
"08118007";"Besigheim, Stadt";"16,8"
"08426020";"Betzenweiler";"7,6"
"08116011";"Beuren";"12,5"
"08437005";"Beuron";"9,9"
"08317011";"Biberach";"7,0"
"08426021";"Biberach an der Riß, Stadt";"18,2"
"08316003";"Biederbach";"4,4"
"08216005";"Bietigheim";"12,5"
"08118079";"Bietigheim-Bissingen, Stadt";"21,7"
"08225009";"Billigheim";"11,9"
"08225010";"Binau";"8,3"
"08437008";"Bingen";"9,9"
"08336008";"Binzen";"13,2"
"08117009";"Birenbach";"10,9"
"08236004";"Birkenfeld";"13,9"
"08216006";"Bischweier";"10,0"
"08417008";"Bisingen";"12,4"
"08116012";"Bissingen an der Teck";"12,8"
"08417010";"Bitz";"8,7"
"08425020";"Blaubeuren, Stadt";"21,5"
"08127008";"Blaufelden";"12,3"
"08425141";"Blaustein, Stadt";"19,1"
"08326005";"Blumberg, Stadt";"16,3"
"08136009";"Böbingen an der Rems";"7,1"
"08115003";"Böblingen, Stadt";"26,9"
"08416006";"Bodelshausen";"20,2"
"08335098";"Bodman-Ludwigshafen";"13,5"
"08436018";"Bodnegg";"8,5"
"08117010";"Böhmenkirch";"12,6"
"08336010";"Böllen";"2,1"
"08315014";"Bollschweil";"9,9"
"08436019";"Boms";"10,2"
"08115004";"Bondorf";"13,9"
"08337022";"Bonndorf im Schwarzwald, Stadt";"16,9"
"08118010";"Bönnigheim, Stadt";"18,9"
"08136010";"Bopfingen, Stadt";"14,4"
"08425022";"Börslingen";"6,5"
"08117011";"Börtlingen";"5,3"
"08325009";"Bösingen";"5,9"
"08327006";"Böttingen";"11,6"
"08315013";"Bötzingen";"14,7"
"08128014";"Boxberg, Stadt";"8,9"
"08125013";"Brackenheim, Stadt";"14,8"
"08326006";"Bräunlingen, Stadt";"11,7"
"08127009";"Braunsbach";"7,4"
"08315015";"Breisach am Rhein, Stadt";"16,5"
"08425024";"Breitingen";"6,5"
"08315016";"Breitnau";"10,5"
"08215007";"Bretten, Stadt";"24,6"
"08126011";"Bretzfeld";"10,4"
"08326075";"Brigachtal";"8,3"
"08215009";"Bruchsal, Stadt";"21,7"
"08226009";"Brühl";"11,8"
"08327007";"Bubsheim";"33,8"
"08225014";"Buchen (Odenwald), Stadt";"11,0"
"08315020";"Buchenbach";"8,0"
"08327008";"Buchheim";"4,9"
"08315022";"Buggingen";"10,4"
"08216007";"Bühl, Stadt";"14,5"
"08216008";"Bühlertal";"15,1"
"08127012";"Bühlertann";"7,1"
"08127013";"Bühlerzell";"4,9"
"08426028";"Burgrieden";"10,3"
"08119018";"Burgstetten";"11,3"
"08417013";"Burladingen, Stadt";"14,2"
"08335015";"Büsingen am Hochrhein";"35,4"
"08235085";"Calw, Stadt";"23,2"
"08125017";"Cleebronn";"17,7"
"08127014";"Crailsheim, Stadt";"23,5"
"08128020";"Creglingen, Stadt";"7,6"
"08337027";"Dachsberg (Südschwarzwald)";"8,8"
"08435010";"Daisendorf";"11,6"
"08326010";"Dauchingen";"11,6"
"08417014";"Dautmergen";"11,7"
"08115010";"Deckenpfronn";"10,0"
"08435067";"Deggenhausertal";"8,4"
"08117014";"Deggingen";"9,8"
"08327009";"Deilingen";"17,9"
"08325072";"Deißlingen";"12,6"
"08116014";"Deizisau";"17,0"
"08116015";"Denkendorf";"20,0"
"08327010";"Denkingen";"12,3"
"08316009";"Denzlingen";"14,8"
"08416009";"Dettenhausen";"11,9"
"08215111";"Dettenheim";"9,4"
"08337030";"Dettighofen";"15,8"
"08415014";"Dettingen an der Erms";"18,7"
"08426031";"Dettingen an der Iller";"8,8"
"08116016";"Dettingen unter Teck";"15,6"
"08226010";"Dielheim";"11,7"
"08425028";"Dietenheim, Stadt";"17,7"
"08325011";"Dietingen";"8,2"
"08135010";"Dischingen";"9,7"
"08118011";"Ditzingen, Stadt";"21,4"
"08235018";"Dobel";"14,6"
"08337032";"Dogern";"11,2"
"08326012";"Donaueschingen, Stadt";"15,3"
"08117015";"Donzdorf, Stadt";"11,8"
"08417015";"Dormettingen";"13,3"
"08325012";"Dornhan, Stadt";"7,5"
"08425031";"Dornstadt";"12,9"
"08237019";"Dornstetten, Stadt";"11,6"
"08126020";"Dörzbach";"11,2"
"08226012";"Dossenheim";"14,0"
"08417016";"Dotternhausen";"8,1"
"08117016";"Drackenstein";"5,6"
"08325014";"Dunningen";"8,2"
"08317021";"Durbach";"8,5"
"08327011";"Dürbheim";"10,3"
"08327012";"Durchhausen";"10,1"
"08136015";"Durlangen";"7,7"
"08426035";"Dürmentingen";"10,4"
"08216009";"Durmersheim";"15,5"
"08117017";"Dürnau";"9,8"
"08426036";"Dürnau";"7,8"
"08416011";"Dußlingen";"14,9"
"08436024";"Ebenweiler";"8,1"
"08226013";"Eberbach, Stadt";"17,1"
"08118012";"Eberdingen";"17,5"
"08426038";"Eberhardzell";"8,2"
"08117018";"Ebersbach an der Fils, Stadt";"19,5"
"08436093";"Ebersbach-Musbach";"5,8"
"08125021";"Eberstadt";"12,5"
"08235020";"Ebhausen";"16,1"
"08315028";"Ebringen";"7,9"
"08226105";"Edingen-Neckarhausen";"17,1"
"08336014";"Efringen-Kirchen";"11,2"
"08235022";"Egenhausen";"8,9"
"08327013";"Egesheim";"25,2"
"08215102";"Eggenstein-Leopoldshafen";"13,5"
"08337124";"Eggingen";"12,9"
"08425033";"Ehingen (Donau), Stadt";"20,6"
"08115013";"Ehningen";"18,3"
"08315131";"Ehrenkirchen";"10,3"
"08436027";"Eichstegen";"14,2"
"08315030";"Eichstetten am Kaiserstuhl";"11,6"
"08335021";"Eigeltingen";"11,8"
"08336019";"Eimeldingen";"14,6"
"08315031";"Eisenbach (Hochschwarzwald)";"12,0"
"08236011";"Eisingen";"13,3"
"08117019";"Eislingen/Fils, Stadt";"25,3"
"08216012";"Elchesheim-Illingen";"8,9"
"08136018";"Ellenberg";"7,4"
"08125024";"Ellhofen";"14,2"
"08136019";"Ellwangen (Jagst), Stadt";"13,9"
"08316010";"Elzach, Stadt";"11,2"
"08225117";"Elztal";"10,5"
"08425035";"Emeringen";"4,4"
"08425036";"Emerkingen";"8,8"
"08316011";"Emmendingen, Stadt";"17,3"
"08327057";"Emmingen-Liptingen";"10,8"
"08237024";"Empfingen";"12,0"
"08316012";"Endingen am Kaiserstuhl, Stadt";"11,8"
"08236013";"Engelsbrand";"9,8"
"08335022";"Engen, Stadt";"16,3"
"08415089";"Engstingen";"8,6"
"08415019";"Eningen unter Achalm";"17,4"
"08235025";"Enzklösterle";"17,5"
