year,region_code,region_label,series,migration_status,detail,value_thousand
2021,08117KRSI,"Göppingen, Landkreis",by_marital_status,mit Migrationshintergrund,Insgesamt,106
2021,08117KRSI,"Göppingen, Landkreis",by_marital_status,mit Migrationshintergrund,geschieden,6
2021,08117KRSI,"Göppingen, Landkreis",by_marital_status,mit Migrationshintergrund,ledig,46
2021,08117KRSI,"Göppingen, Landkreis",by_marital_status,mit Migrationshintergrund,verheiratet,49
2021,08117KRSI,"Göppingen, Landkreis",by_marital_status,mit Migrationshintergrund,verwitwet,/
2021,08117KRSI,"Göppingen, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,Insgesamt,39
2021,08117KRSI,"Göppingen, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,geschieden,/
2021,08117KRSI,"Göppingen, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,ledig,30
2021,08117KRSI,"Göppingen, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verheiratet,6
2021,08117KRSI,"Göppingen, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verwitwet,/
2021,08118KRSI,"Ludwigsburg, Landkreis",by_marital_status,Insgesamt,Insgesamt,521
2021,08118KRSI,"Ludwigsburg, Landkreis",by_marital_status,Insgesamt,geschieden,35
2021,08118KRSI,"Ludwigsburg, Landkreis",by_marital_status,Insgesamt,ledig,211
2021,08118KRSI,"Ludwigsburg, Landkreis",by_marital_status,Insgesamt,verheiratet,247
2021,08118KRSI,"Ludwigsburg, Landkreis",by_marital_status,Insgesamt,verwitwet,28
2021,08118KRSI,"Ludwigsburg, Landkreis",by_marital_status,mit Migrationshintergrund,Insgesamt,214
2021,08118KRSI,"Ludwigsburg, Landkreis",by_marital_status,mit Migrationshintergrund,geschieden,10
2021,08118KRSI,"Ludwigsburg, Landkreis",by_marital_status,mit Migrationshintergrund,ledig,96
2021,08118KRSI,"Ludwigsburg, Landkreis",by_marital_status,mit Migrationshintergrund,verheiratet,101
2021,08118KRSI,"Ludwigsburg, Landkreis",by_marital_status,mit Migrationshintergrund,verwitwet,6
2021,08118KRSI,"Ludwigsburg, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,Insgesamt,70
2021,08118KRSI,"Ludwigsburg, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,geschieden,/
2021,08118KRSI,"Ludwigsburg, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,ledig,55
2021,08118KRSI,"Ludwigsburg, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verheiratet,13
2021,08118KRSI,"Ludwigsburg, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verwitwet,/
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",by_marital_status,Insgesamt,Insgesamt,432
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",by_marital_status,Insgesamt,geschieden,25
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",by_marital_status,Insgesamt,ledig,168
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",by_marital_status,Insgesamt,verheiratet,213
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",by_marital_status,Insgesamt,verwitwet,25
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",by_marital_status,mit Migrationshintergrund,Insgesamt,150
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",by_marital_status,mit Migrationshintergrund,geschieden,7
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",by_marital_status,mit Migrationshintergrund,ledig,65
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",by_marital_status,mit Migrationshintergrund,verheiratet,71
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",by_marital_status,mit Migrationshintergrund,verwitwet,/
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,Insgesamt,52
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,geschieden,/
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,ledig,39
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verheiratet,12
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verwitwet,/
2021,08121KRSI,"Heilbronn, Stadtkreis",by_marital_status,Insgesamt,Insgesamt,126
2021,08121KRSI,"Heilbronn, Stadtkreis",by_marital_status,Insgesamt,geschieden,9
2021,08121KRSI,"Heilbronn, Stadtkreis",by_marital_status,Insgesamt,ledig,55
2021,08121KRSI,"Heilbronn, Stadtkreis",by_marital_status,Insgesamt,verheiratet,57
2021,08121KRSI,"Heilbronn, Stadtkreis",by_marital_status,Insgesamt,verwitwet,/
2021,08121KRSI,"Heilbronn, Stadtkreis",by_marital_status,mit Migrationshintergrund,Insgesamt,74
2021,08121KRSI,"Heilbronn, Stadtkreis",by_marital_status,mit Migrationshintergrund,geschieden,/
2021,08121KRSI,"Heilbronn, Stadtkreis",by_marital_status,mit Migrationshintergrund,ledig,34
2021,08121KRSI,"Heilbronn, Stadtkreis",by_marital_status,mit Migrationshintergrund,verheiratet,33
2021,08121KRSI,"Heilbronn, Stadtkreis",by_marital_status,mit Migrationshintergrund,verwitwet,/
2021,08121KRSI,"Heilbronn, Stadtkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,Insgesamt,23
2021,08121KRSI,"Heilbronn, Stadtkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,geschieden,/
2021,08121KRSI,"Heilbronn, Stadtkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,ledig,20
2021,08121KRSI,"Heilbronn, Stadtkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verheiratet,/
2021,08121KRSI,"Heilbronn, Stadtkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verwitwet,/
2021,08125KRSI,"Heilbronn, Landkreis",by_marital_status,Insgesamt,Insgesamt,347
2021,08125KRSI,"Heilbronn, Landkreis",by_marital_status,Insgesamt,geschieden,22
2021,08125KRSI,"Heilbronn, Landkreis",by_marital_status,Insgesamt,ledig,143
2021,08125KRSI,"Heilbronn, Landkreis",by_marital_status,Insgesamt,verheiratet,168
2021,08125KRSI,"Heilbronn, Landkreis",by_marital_status,Insgesamt,verwitwet,15
2021,08125KRSI,"Heilbronn, Landkreis",by_marital_status,mit Migrationshintergrund,Insgesamt,128
2021,08125KRSI,"Heilbronn, Landkreis",by_marital_status,mit Migrationshintergrund,geschieden,/
2021,08125KRSI,"Heilbronn, Landkreis",by_marital_status,mit Migrationshintergrund,ledig,60
2021,08125KRSI,"Heilbronn, Landkreis",by_marital_status,mit Migrationshintergrund,verheiratet,59
2021,08125KRSI,"Heilbronn, Landkreis",by_marital_status,mit Migrationshintergrund,verwitwet,/
2021,08125KRSI,"Heilbronn, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,Insgesamt,45
2021,08125KRSI,"Heilbronn, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,geschieden,/
2021,08125KRSI,"Heilbronn, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,ledig,35
2021,08125KRSI,"Heilbronn, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verheiratet,9
2021,08125KRSI,"Heilbronn, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verwitwet,/
2021,08126KRSI,"Hohenlohekreis, Landkreis",by_marital_status,Insgesamt,Insgesamt,110
2021,08126KRSI,"Hohenlohekreis, Landkreis",by_marital_status,Insgesamt,geschieden,7
2021,08126KRSI,"Hohenlohekreis, Landkreis",by_marital_status,Insgesamt,ledig,45
2021,08126KRSI,"Hohenlohekreis, Landkreis",by_marital_status,Insgesamt,verheiratet,51
2021,08126KRSI,"Hohenlohekreis, Landkreis",by_marital_status,Insgesamt,verwitwet,7
2021,08126KRSI,"Hohenlohekreis, Landkreis",by_marital_status,mit Migrationshintergrund,Insgesamt,33
2021,08126KRSI,"Hohenlohekreis, Landkreis",by_marital_status,mit Migrationshintergrund,geschieden,/
2021,08126KRSI,"Hohenlohekreis, Landkreis",by_marital_status,mit Migrationshintergrund,ledig,15
2021,08126KRSI,"Hohenlohekreis, Landkreis",by_marital_status,mit Migrationshintergrund,verheiratet,13
2021,08126KRSI,"Hohenlohekreis, Landkreis",by_marital_status,mit Migrationshintergrund,verwitwet,/
2021,08126KRSI,"Hohenlohekreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,Insgesamt,11
2021,08126KRSI,"Hohenlohekreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,geschieden,/
2021,08126KRSI,"Hohenlohekreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,ledig,9
2021,08126KRSI,"Hohenlohekreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verheiratet,/
2021,08126KRSI,"Hohenlohekreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verwitwet,/
2021,08127KRSI,"Schwäbisch Hall, Landkreis",by_marital_status,Insgesamt,Insgesamt,190
2021,08127KRSI,"Schwäbisch Hall, Landkreis",by_marital_status,Insgesamt,geschieden,11
2021,08127KRSI,"Schwäbisch Hall, Landkreis",by_marital_status,Insgesamt,ledig,76
2021,08127KRSI,"Schwäbisch Hall, Landkreis",by_marital_status,Insgesamt,verheiratet,91
2021,08127KRSI,"Schwäbisch Hall, Landkreis",by_marital_status,Insgesamt,verwitwet,11
2021,08127KRSI,"Schwäbisch Hall, Landkreis",by_marital_status,mit Migrationshintergrund,Insgesamt,59
2021,08127KRSI,"Schwäbisch Hall, Landkreis",by_marital_status,mit Migrationshintergrund,geschieden,/
2021,08127KRSI,"Schwäbisch Hall, Landkreis",by_marital_status,mit Migrationshintergrund,ledig,24
2021,08127KRSI,"Schwäbisch Hall, Landkreis",by_marital_status,mit Migrationshintergrund,verheiratet,31
