year,region_code,region_label,migration_status,age_group,value_thousand
2021,08117KRSI,"Göppingen, Landkreis",mit Migrationshintergrund,35 bis unter 45 Jahre,15
2021,08117KRSI,"Göppingen, Landkreis",mit Migrationshintergrund,45 bis unter 55 Jahre,15
2021,08117KRSI,"Göppingen, Landkreis",mit Migrationshintergrund,55 bis unter 65 Jahre,13
2021,08117KRSI,"Göppingen, Landkreis",mit Migrationshintergrund,65 Jahre und mehr,12
2021,08117KRSI,"Göppingen, Landkreis",mit Migrationshintergrund,Insgesamt,106
2021,08117KRSI,"Göppingen, Landkreis",mit Migrationshintergrund,unter 15 Jahre,23
2021,08118KRSI,"Ludwigsburg, Landkreis",Insgesamt,15 bis unter 25 Jahre,53
2021,08118KRSI,"Ludwigsburg, Landkreis",Insgesamt,25 bis unter 35 Jahre,67
2021,08118KRSI,"Ludwigsburg, Landkreis",Insgesamt,35 bis unter 45 Jahre,69
2021,08118KRSI,"Ludwigsburg, Landkreis",Insgesamt,45 bis unter 55 Jahre,73
2021,08118KRSI,"Ludwigsburg, Landkreis",Insgesamt,55 bis unter 65 Jahre,79
2021,08118KRSI,"Ludwigsburg, Landkreis",Insgesamt,65 Jahre und mehr,103
2021,08118KRSI,"Ludwigsburg, Landkreis",Insgesamt,Insgesamt,521
2021,08118KRSI,"Ludwigsburg, Landkreis",Insgesamt,unter 15 Jahre,76
2021,08118KRSI,"Ludwigsburg, Landkreis",mit Migrationshintergrund,15 bis unter 25 Jahre,27
2021,08118KRSI,"Ludwigsburg, Landkreis",mit Migrationshintergrund,25 bis unter 35 Jahre,31
2021,08118KRSI,"Ludwigsburg, Landkreis",mit Migrationshintergrund,35 bis unter 45 Jahre,35
2021,08118KRSI,"Ludwigsburg, Landkreis",mit Migrationshintergrund,45 bis unter 55 Jahre,30
2021,08118KRSI,"Ludwigsburg, Landkreis",mit Migrationshintergrund,55 bis unter 65 Jahre,22
2021,08118KRSI,"Ludwigsburg, Landkreis",mit Migrationshintergrund,65 Jahre und mehr,26
2021,08118KRSI,"Ludwigsburg, Landkreis",mit Migrationshintergrund,Insgesamt,214
2021,08118KRSI,"Ludwigsburg, Landkreis",mit Migrationshintergrund,unter 15 Jahre,42
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",Insgesamt,15 bis unter 25 Jahre,44
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",Insgesamt,25 bis unter 35 Jahre,56
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",Insgesamt,35 bis unter 45 Jahre,53
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",Insgesamt,45 bis unter 55 Jahre,60
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",Insgesamt,55 bis unter 65 Jahre,72
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",Insgesamt,65 Jahre und mehr,89
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",Insgesamt,Insgesamt,432
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",Insgesamt,unter 15 Jahre,58
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",mit Migrationshintergrund,15 bis unter 25 Jahre,16
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",mit Migrationshintergrund,25 bis unter 35 Jahre,24
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",mit Migrationshintergrund,35 bis unter 45 Jahre,23
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",mit Migrationshintergrund,45 bis unter 55 Jahre,21
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",mit Migrationshintergrund,55 bis unter 65 Jahre,19
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",mit Migrationshintergrund,65 Jahre und mehr,19
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",mit Migrationshintergrund,Insgesamt,150
2021,08119KRSI,"Rems-Murr-Kreis, Landkreis",mit Migrationshintergrund,unter 15 Jahre,28
2021,08121KRSI,"Heilbronn, Stadtkreis",Insgesamt,15 bis unter 25 Jahre,16
2021,08121KRSI,"Heilbronn, Stadtkreis",Insgesamt,25 bis unter 35 Jahre,18
2021,08121KRSI,"Heilbronn, Stadtkreis",Insgesamt,35 bis unter 45 Jahre,16
2021,08121KRSI,"Heilbronn, Stadtkreis",Insgesamt,45 bis unter 55 Jahre,18
2021,08121KRSI,"Heilbronn, Stadtkreis",Insgesamt,55 bis unter 65 Jahre,17
2021,08121KRSI,"Heilbronn, Stadtkreis",Insgesamt,65 Jahre und mehr,24
2021,08121KRSI,"Heilbronn, Stadtkreis",Insgesamt,Insgesamt,126
2021,08121KRSI,"Heilbronn, Stadtkreis",Insgesamt,unter 15 Jahre,18
2021,08121KRSI,"Heilbronn, Stadtkreis",mit Migrationshintergrund,15 bis unter 25 Jahre,11
2021,08121KRSI,"Heilbronn, Stadtkreis",mit Migrationshintergrund,25 bis unter 35 Jahre,11
2021,08121KRSI,"Heilbronn, Stadtkreis",mit Migrationshintergrund,35 bis unter 45 Jahre,12
2021,08121KRSI,"Heilbronn, Stadtkreis",mit Migrationshintergrund,45 bis unter 55 Jahre,11
2021,08121KRSI,"Heilbronn, Stadtkreis",mit Migrationshintergrund,55 bis unter 65 Jahre,8
2021,08121KRSI,"Heilbronn, Stadtkreis",mit Migrationshintergrund,65 Jahre und mehr,8
2021,08121KRSI,"Heilbronn, Stadtkreis",mit Migrationshintergrund,Insgesamt,74
2021,08121KRSI,"Heilbronn, Stadtkreis",mit Migrationshintergrund,unter 15 Jahre,14
2021,08125KRSI,"Heilbronn, Landkreis",Insgesamt,15 bis unter 25 Jahre,37
2021,08125KRSI,"Heilbronn, Landkreis",Insgesamt,25 bis unter 35 Jahre,45
2021,08125KRSI,"Heilbronn, Landkreis",Insgesamt,35 bis unter 45 Jahre,51
2021,08125KRSI,"Heilbronn, Landkreis",Insgesamt,45 bis unter 55 Jahre,46
2021,08125KRSI,"Heilbronn, Landkreis",Insgesamt,55 bis unter 65 Jahre,54
2021,08125KRSI,"Heilbronn, Landkreis",Insgesamt,65 Jahre und mehr,59
2021,08125KRSI,"Heilbronn, Landkreis",Insgesamt,Insgesamt,347
2021,08125KRSI,"Heilbronn, Landkreis",Insgesamt,unter 15 Jahre,56
