year,region_code,region_label,labour_status,migration_status,education_isced,value_thousand
2021,08111KRSI,"Stuttgart, Stadtkreis",Nichterwerbspersonen,mit Migrationshintergrund,Insgesamt,78
2021,08111KRSI,"Stuttgart, Stadtkreis",Nichterwerbspersonen,mit Migrationshintergrund,hoch,15
2021,08111KRSI,"Stuttgart, Stadtkreis",Nichterwerbspersonen,mit Migrationshintergrund,mittel,25
2021,08111KRSI,"Stuttgart, Stadtkreis",Nichterwerbspersonen,mit Migrationshintergrund,niedrig,39
2021,08111KRSI,"Stuttgart, Stadtkreis",Nichterwerbspersonen,ohne Migrationshintergrund,Insgesamt,106
2021,08111KRSI,"Stuttgart, Stadtkreis",Nichterwerbspersonen,ohne Migrationshintergrund,hoch,29
2021,08111KRSI,"Stuttgart, Stadtkreis",Nichterwerbspersonen,ohne Migrationshintergrund,mittel,56
2021,08111KRSI,"Stuttgart, Stadtkreis",Nichterwerbspersonen,ohne Migrationshintergrund,niedrig,20
2021,08115KRSI,"Böblingen, Landkreis",Erwerbslose,Insgesamt,Insgesamt,6
2021,08115KRSI,"Böblingen, Landkreis",Erwerbslose,Insgesamt,hoch,/
2021,08115KRSI,"Böblingen, Landkreis",Erwerbslose,Insgesamt,mittel,/
2021,08115KRSI,"Böblingen, Landkreis",Erwerbslose,Insgesamt,niedrig,/
2021,08115KRSI,"Böblingen, Landkreis",Erwerbslose,mit Migrationshintergrund,Insgesamt,/
2021,08115KRSI,"Böblingen, Landkreis",Erwerbslose,mit Migrationshintergrund,hoch,/
2021,08115KRSI,"Böblingen, Landkreis",Erwerbslose,mit Migrationshintergrund,mittel,/
2021,08115KRSI,"Böblingen, Landkreis",Erwerbslose,mit Migrationshintergrund,niedrig,/
2021,08115KRSI,"Böblingen, Landkreis",Erwerbslose,ohne Migrationshintergrund,Insgesamt,/
2021,08115KRSI,"Böblingen, Landkreis",Erwerbslose,ohne Migrationshintergrund,hoch,/
2021,08115KRSI,"Böblingen, Landkreis",Erwerbslose,ohne Migrationshintergrund,mittel,/
2021,08115KRSI,"Böblingen, Landkreis",Erwerbslose,ohne Migrationshintergrund,niedrig,/
2021,08115KRSI,"Böblingen, Landkreis",Erwerbspersonen,Insgesamt,Insgesamt,203
2021,08115KRSI,"Böblingen, Landkreis",Erwerbspersonen,Insgesamt,hoch,80
